Car Name,KM Driven,Fuel Type,Transmission,Ownership,Price,Location
2015 Hyundai Elite i20 ASTA 1.2,65.43k km,Petrol,Manual,1st owner,4.96 lakh,"Service Road, Sonagiri, Bhopal"
2016 Mahindra XUV500 W6,1.0L km,Diesel,Manual,1st owner,5.43 lakh,Bhanpur Bhopal Madhya Pradesh
2023 Tata TIAGO EV XT LONG RANGE,38.14k km,Electric,Auto,1st owner,7.10 lakh,Jahangirabad Bhopal Madhya Pradesh
2022 KIA SELTOS GTX PLUS DCT 1.4 PETROL,26.27k km,Petrol,Auto,2nd owner,13.00 lakh,Anand Nagar Bhopal Madhya Pradesh
2012 Toyota Fortuner 3.0 4X2 MT,1.5L km,Diesel,Manual,2nd owner,10.50L,Salaiya Bhopal Madhya Pradesh 462026
2015 Mercedes Benz B Class,69.21k km,Diesel,Auto,1st owner,12.50 lakh,TT Nagar Bhopal Madhya Pradesh
2014 Mahindra XUV500 W8,1.0L km,Diesel,Manual,2nd owner,4.78 lakh,Saket Nagar Bhopal
2023 KIA SELTOS 1.5 GTX+ TURBO GDI PETROL DCT,44.19k km,Petrol,Auto,1st owner,13.22 lakh,Gulmohar Colony Bhopal Madhya Pradesh
2024 MG HECTOR SMART PRO 1.5 TURBO MT PETROL,253 km,Petrol,Manual,1st owner,16.50 lakh,Maharana Pratap Nagar Bhopal Madhya Pradesh
2020 Maruti S Cross SIGMA 1.5,32.16k km,Petrol,Manual,1st owner,6.22 lakh,Kotra Sultanabad Bhopal Madhya Pradesh
2023 Tata TIAGO EV XT MEDIUM RANGE,30.05k km,Electric,Auto,1st owner,6.70 lakh,Railway Colony Bhopal
2013 Mahindra XUV500 W8,1.0L km,Diesel,Manual,3rd owner,4.21 lakh,Indrapuri Bhopal Madhya Pradesh
2019 Mahindra XUV500 W3,61.13k km,Diesel,Manual,1st owner,8.33 lakh,"Hoshangabad Road, Bhopal"
2023 KIA SONET HTX PLUS 1.5 DIESEL IMT,37.54k km,Diesel,Manual,1st owner,11.95L,Maharana Pratap Nagar Bhopal Madhya Pradesh
2019 Jeep Compass LIMITED 2.0 DIESEL,81.45k km,Diesel,Manual,3rd owner,11.99 lakh,"Peoples Mall Near by Karond by Bass, Bhopal"
2019 KIA SELTOS GTX PLUS AT 1.5 DIESEL,86.85k km,Diesel,Auto,2nd owner,11.94 lakh,Kolar Rd Bhopal
2022 Maruti IGNIS ZETA 1.2,24.56k km,Petrol,Manual,1st owner,6.38 lakh,"Hoshangabad Road, Bhopal"
2015 Maruti S Cross ALPHA 1.6,84.45k km,Diesel,Manual,1st owner,4.82 lakh,"Arera Hills, Bhopal"
2017 Maruti Dzire VDI,48.48k km,Diesel,Manual,1st owner,6.26 lakh,"Gas Quarters, Karond, Bhopal"
2015 Audi Q7 35 TDI S LINE QUATTRO,97.78k km,Diesel,Auto,3rd owner,14.00 lakh,Bhopal Gehun Kheda Madhya Pradesh
2016 Landrover DISCOVERY SPORT,88.85k km,Diesel,Auto,2nd owner,22.18 lakh,Misrod Bhopal Madhya Pradesh
2022 Maruti Eeco 5 STR AC CNG (O),44.15k km,Petrol,Manual,1st owner,5.31 lakh,Bairagarh Bhopal Madhya Pradesh
2015 Honda Jazz 1.5L I-DTEC E,74.27k km,Diesel,Manual,1st owner,4.64 lakh,"Service Road, Sonagiri, Bhopal"
2022 Tata Harrier XT PLUS 2.0L KRYOTEC,66.81k km,Diesel,Manual,1st owner,15.20 lakh,Bhopal Gehun Kheda Madhya Pradesh
2022 CITROEN C3 FEEL 1.2 DUAL TONE,30.80k km,Petrol,Manual,2nd owner,5.50 lakh,Peer Gate Peer Gate Area Bhopal
2012 Mercedes Benz Ml Class,1.3L km,Diesel,Auto,3rd owner,9.89 lakh,Jatkhedi Bhopal Madhya Pradesh
2023 KIA SELTOS  GTX Plus 1.5 Turbo Petrol DCT,4.85k km,Petrol,Auto,1st owner,17.75 lakh,Bhopal Sankhedi Madhya Pradesh
2018 Maruti Baleno ZETA PETROL 1.2,60.24k km,Petrol,Manual,1st owner,5.76 lakh,"Peoples Mall Near by Karond by Bass, Bhopal"
2023 MG HECTOR PLUS,4.84k km,Petrol,Auto,1st owner,20.09 lakh,Eco Green City Bhopal Madhya Pradesh
2024 Tata TIAGO EV XT MEDIUM RANGE,11.76k km,Electric,Auto,1st owner,7.80 lakh,TT Nagar Bhopal Madhya Pradesh
2024 Jeep Compass LIMITED (O) 2.0 DIESEL AT FWD,37.36k km,Diesel,Auto,1st owner,24.59 lakh,Lalghati Bhopal Madhya Pradesh
2021 MG HECTOR PLUS,62.41k km,Petrol,Auto,1st owner,13.50 lakh,Ayodhya Nagar Bhopal Madhya Pradesh
2012 Mahindra XUV500 W8,1.2L km,Diesel,Manual,2nd owner,4.01L,"Arera Hills, Bhopal"
2017 Maruti Eeco 5 STR WITH A/C+HTR,62.00k km,Petrol,Manual,1st owner,4.25 lakh,"Service Road, Sonagiri, Bhopal"
2012 Toyota Fortuner 3.0 4X4 MT,1.3L km,Diesel,Manual,1st owner,10.96L,"Hoshangabad Road, Bhopal"
2012 Skoda Rapid ACTIVE 1.6 TDI CR MT PLUS,75.21k km,Diesel,Manual,2nd owner,2.53 lakh,"Service Road, Sonagiri, Bhopal"
2012 Toyota Innova 2.5 GX 7 STR,83.04k km,Diesel,Manual,2nd owner,4.45 lakh,"Service Road, Sonagiri, Bhopal"
2021 Tata Harrier XT PLUS 2.0L KRYOTEC,49.82k km,Diesel,Manual,1st owner,13.33L,"Service Road, Sonagiri, Bhopal"
2020 Maruti New Wagon-R,43.26k km,Petrol,Manual,2nd owner,4.70 lakh,"CARS24 Network, Jadhav Mandi, Aurangabad"
2017 Renault Kwid RXT 0.8,86.53k km,Petrol,Manual,1st owner,2.29L,New Usmanpura Chhatrapati Sambhaji Nagar Maharashtra
2018 Tata Tiago XZ DIESEL,66.72k km,Diesel,Manual,2nd owner,3.44 lakh,Harsul Chhatrapati Sambhaji Nagar
2017 Hyundai Elite i20 ASTA 1.4 CRDI (O),73.51k km,Diesel,Manual,3rd owner,5.97 lakh,Jaswantpura Chhatrapati Sambhajinagar
2017 Hyundai Elite i20 ASTA 1.4 CRDI (O),1.4L km,Diesel,Manual,1st owner,6.37 lakh,Naralibag Chhatrapati Sambhajinagar
2010 Mahindra Scorpio M2DI,3.5L km,Diesel,Manual,7th owner,1.88 lakh,Sector 38 Gurugram
2014 Hyundai Grand i10,1.3L km,Diesel,Manual,2nd owner,2.79 lakh,Naralibag Chhatrapati Sambhajinagar
2013 Hyundai Eon D-LITE + LPG,82.98k km,Petrol,Manual,1st owner,1.80 lakh,Sangram Nagar Chhatrapati Sambhaji Nagar Maharashtra
2015 Maruti Alto 800 LXI,1.1L km,Petrol,Manual,4th owner,2.40 lakh,Shahnoorwadi Chhatrapati Sambhaji Nagar Maharashtra
2015 Hyundai Eon ERA +,58.55k km,Petrol,Manual,2nd owner,1.85L,Chilkalthana Chhatrapati Sambhaji Nagar Maharashtra
2020 Maruti Celerio ZXI,1.7L km,Petrol,Manual,2nd owner,4.00 lakh,Cidco Chhatrapati Sambhajinagar Maharashtra
2008 Hyundai i10 SPORTZ 1.2,70.78k km,Petrol,Manual,6th owner,1.02 lakh,Satara Deolai Parisar Chhatrapati Sambhaji Nagar
2012 Mahindra XUV500 W8,1.1L km,Diesel,Manual,4th owner,2.50 lakh,Misarwadi Chhatrapati Sambhaji Nagar
2014 Maruti Wagon R 1.0 VXI,77.68k km,Petrol,Manual,1st owner,2.80 lakh,Itkheda Chhatrapati Sambhaji Nagar Maharashtra
2017 Renault Kwid RXT 1.0,75.02k km,Petrol,Manual,3rd owner,2.21 lakh,Kanchanwadi Aurangabad Maharashtra
2012 Maruti Alto K10 VXI,62.61k km,Petrol,Manual,3rd owner,1.35 lakh,Kolpewadi Mahegaon Deshmukh
2018 Volkswagen Ameo,1.1L km,Petrol,Manual,1st owner,4.00 lakh,Cidco Chhatrapati Sambhaji Nagar Maharashtra
2011 Maruti Swift VDI,1.1L km,Diesel,Manual,2nd owner,2.83 lakh,Chhatrapati Sambhaji Nagar Chhatrapati Sambhajinagar Maharashtra
2010 Maruti Alto K10 LXI,1.2L km,Petrol,Manual,1st owner,1.50 lakh,Sector 18 Gurugram
2015 Hyundai Elite i20 ASTA 1.2,84.38k km,Petrol,Manual,3rd owner,4.00 lakh,Sawangi Ashrafpur
2021 Mahindra Bolero B4,31.72k km,Diesel,Manual,1st owner,9.50 lakh,Waluj Chhatrapati Sambhaji Nagar Maharashtra
2016 Volkswagen Polo,1.6L km,Petrol,Manual,2nd owner,3.50 lakh,Cidco Chhatrapati Sambhaji Nagar Maharashtra
2013 Hyundai i10 MAGNA 1.2,26.83k km,Petrol,Manual,2nd owner,2.90 lakh,Garkheda Chhatrapati Sambhaji Nagar Maharashtra
2014 Maruti Wagon R 1.0 LXI CNG,85.73k km,Petrol,Manual,4th owner,2.17 lakh,Cidco Chhatrapati Sambhaji Nagar Maharashtra
2017 Datsun Redi Go T (O),55.47k km,Petrol,Manual,2nd owner,2.12 lakh,Chhatrapati Sambhaji Nagar Aurangabad Maharashtra
2020 Honda Amaze 1.2L I-VTEC V,34.96k km,Petrol,Manual,1st owner,5.82 lakh,Chilkalthana Chhatrapati Sambhaji Nagar Maharashtra
2012 Hyundai Eon SPORTZ,86.75k km,Petrol,Manual,4th owner,0.95L,Krishnapur Chhatrapati Sambhaji Nagar
2015 Renault Pulse RXL DIESEL,79.25k km,Diesel,Manual,3rd owner,1.60 lakh,Mahmoodpura Chhatrapati Sambhaji Nagar Maharashtra
2023 Tata TIGOR XZ CNG,1.1L km,Petrol,Manual,1st owner,7.00 lakh,Nyay Nagar Chhatrapati Sambhaji Nagar
2015 Hyundai Eon D-LITE+,1.1L km,Petrol,Manual,3rd owner,1.78 lakh,Cidco Chhatrapati Sambhajinagar
2020 Maruti Celerio ZXI,68.56k km,Petrol,Manual,1st owner,4.38 lakh,Cidco Chhatrapati Sambhaji Nagar
2012 Hyundai i20 MAGNA 1.4 CRDI,1.2L km,Diesel,Manual,3rd owner,2.65 lakh,Ulkanagari Chhatrapati Sambhaji Nagar Maharashtra
2010 Maruti Alto K10 LXI,26.44k km,Petrol,Manual,1st owner,1.60 lakh,Kanchanwadi Chhatrapati Sambhajinagar Maharashtra
2012 Tata Indica Vista VX QUADRAJET,1.8L km,Diesel,Manual,3rd owner,1.14 lakh,Garkheda Chhatrapati Sambhajinagar Maharashtra
2015 Maruti Ritz VDI,1.8L km,Diesel,Manual,4th owner,3.08 lakh,Harsul Chhatrapati Sambhaji Nagar Maharashtra
2017 Hyundai Eon D-LITE+,45.19k km,Petrol,Manual,1st owner,2.50 lakh,Deolai Chhatrapati Sambhaji Nagar
2018 Maruti Alto 800 VXI O,63.93k km,Petrol,Manual,3rd owner,2.80L,Silk Mill Colony Chhatrapati Sambhaji Nagar Maharashtra
2020 Tata NEXON XZA PLUS SUNROOF DUAL TONE PETROL,31.11k km,Petrol,Auto,2nd owner,9.28L,Chhatrapati Sambhaji Nagar Aurangabad Maharashtra
2017 Hyundai Xcent S 1.2 CRDI,87.36k km,Diesel,Manual,2nd owner,3.50 lakh,Gandhi Nagar Newasa Fata
